Project.Proponent,Agent,Significantly involved persons,Project Name,Project ID,Method,Method URL,Method.Type,Project Description,Project activities,"Project suppressors, if applicable",Date Project Registered,Crediting period start date,Crediting period end date,Project location,Project location (postcode),"Project Area(s), where the project is an area based offsets project",Project Mapping File URL,Carbon Estimation Area mapping file URL,Carbon Estimation Area Supplementary information,"If the area-based project is covered by a regional natural resource management plan, is it consistent with that plan?",Joint Implementation project,Is the project area or project areas subject to a Carbon Maintenance Obligation (CMO)?,Conditional upon all regulatory approvals being obtained,Conditional upon the written consent of relevant interest holders,"Nominated Permanence Period, if applicable","Start date of permanence period, if applicable","Finish date of permanence period, if applicable",Contracted on,Contract ID,ACCUs Total units issued,KACCUs Total units issued,KACCUs Units Issued in Financial Year 2012/13,KACCUs Units Issued in Financial Year 2013/14,KACCUs Units Issued in Financial Year 2014/15,KACCUs Units Issued in Financial Year 2015/16,KACCUs Units Issued in Financial Year 2016/17,KACCUs Units Issued in Financial Year 2017/18,KACCUs Units Issued in Financial Year 2018/19,KACCUs Units Issued in Financial Year 2019/20,KACCUs Units Issued in Financial Year 2020/21,KACCUs Units Issued in Financial Year 2021/22,KACCUs Units Issued in Financial Year 2022/23,KACCUs Units Issued in Financial Year 2023/24,KACCUs Units Issued in Financial Year 2024/25,Name of person/s to whom the KACCUs issued,Total Number of KACCUs units relinquished,NKACCUs Total units issued,NKACCUs Units Issued in Financial Year 2012/13,NKACCUs Units Issued in Financial Year 2013/14,NKACCUs Units Issued in Financial Year 2014/15,NKACCUs Units Issued in Financial Year 2015/16,NKACCUs Units Issued in Financial Year 2016/17,NKACCUs Units Issued in Financial Year 2017/18,NKACCUs Units Issued in Financial Year 2018/19,NKACCUs Units Issued in Financial Year 2019/20,NKACCUs Units Issued in Financial Year 2020/21,NKACCUs Units Issued in Financial Year 2021/22,NKACCUs Units Issued in Financial Year 2022/23,NKACCUs Units Issued in Financial Year 2023/24,NKACCUs Units Issued in Financial Year 2024/25,Name of person/s to whom the NKACCUs issued,Total Number of NKACCUs units relinquished,Notes,Project revoked,proponent_country_manual
"Noakes, Garry Raymond",Select Carbon Pty Ltd,n/a,Nardoo Regrowth Project (Revoked),ERF101469,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 1),https://www.legislation.gov.au/Details/F2015C00576,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Exclusion of livestock; Management, in a humane manner, of feral animals",Feral Animals; Livestock,1/9/15,1/7/11,30/06/2036,New South Wales,2840,"3609/DP765961

The project is in the Bourke local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF101469.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,100,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,24/01/2018 This project has been revoked under section 30 of the CFI Rule.,Yes,Australia
"Nois Pty Limited as trustee for the Positano Trust, Platypus Investments Pty Limited as trustee for Platypus Investment Trust",PF Olsen (Aus) Pty Limited,n/a,Isabella Plantation Partnership,ERF172560,Carbon Credits (Carbon Farming Initiative-Plantation Forestry) Methodology Determination 2022,https://www.legislation.gov.au/Details/F2022L00047,Vegetation,This project sequesters carbon by establishing and maintaining a new plantation forest for commercial harvesting of wood products.,Establishment of a new plantation forest,n/a,17/07/2022,1/6/23,31/05/2048,New South Wales,2795,"31/DP753035, 2/DP217263, 1/DP753035, 11/DP753035, 26/DP753035, 37/DP753035, 100/DP1260070, 1/DP217263, 12/DP753035, B/DP432301, 2/DP1101141 

The project is in the OBERON COUNCIL local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF172560.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
North Queensland Cattle Company Pty Ltd ATF North Queensland Cattle Trust,n/a,n/a,Strathpark Human-Induced Regeneration Project,ERF187006,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing",Livestock,23/09/2023,23/09/2023,22/09/2048,Queensland,4822,"17/WLR18/7667/172, 2448/PH279387/7667/127
 
The project is in the CROYDON SHIRE, RICHMOND SHIRE local government area(s).",https://cer.gov.au/sites/default/files/projectFiles/ERF187006.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
North Western Holdings Pty Ltd,Climate Friendly Pty Ltd,n/a,Lenroy Regeneration Project,EOP100996,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing; Management, in a humane manner, of feral animals",Feral Animals; Livestock,15/01/2015,1/7/10,30/06/2035,New South Wales,2840,"1085/DP762361, 2033/DP763942

The project is in the Unincorporated local government area.",https://cer.gov.au/sites/default/files/projectFiles/EOP100996.kml,https://cer.gov.au/sites/default/files/projectFiles/EOP100996_CEA.zip,https://cer.gov.au/sites/default/files/projectFiles/EOP100996_CEA_info.pdf,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,6/7/15,5/7/15,n/a,n/a,442445,436502,0,0,0,44152,65322,0,44353,57098,3069,58181,56029,31908,76390,North Western Holdings Pty Ltd,0,5943,0,0,0,5943,0,0,0,0,0,0,0,0,0,North Western Holdings Pty Ltd,0,"12/05/2022 This project was contracted in Apr-15 and CAC192027 has now been completed.

18/10/2022 Variation of project method - from Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 1)  to Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3)",No,Australia
Northern Connection Foundation Pty Ltd as Trustee for Northern Connection Trust,n/a,n/a,Yielima Revegetation Project,ERF175494,Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings-FullCAM) Methodology Determination 2014 (Compilation No. 2),https://www.legislation.gov.au/Details/F2018C00118,Vegetation,This project establishes permanent plantings of a mix of native tree species on land that was predominantly used for agricultural purposes for at least five years prior to project commencement. The tree species are native to the local area.,Permanent mixed-species environmental planting,n/a,4/2/23,4/2/23,3/2/48,Victoria,3638,"2/PS845970B/3372/387
 
The project is in the MOIRA SHIRE local government area(s).",https://cer.gov.au/sites/default/files/projectFiles/ERF175494.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
"Nott, Benjamin Phillip John and Nott, Charlotte Anne and O'Connor, Stephen James and O'Connor, Bridget Mary",Select Carbon Pty Ltd,n/a,Franks Paddock Regeneration Project (Revoked),ERF102180,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 1),https://www.legislation.gov.au/Details/F2015C00576,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management, in a humane manner, of feral animals",Feral Animals,26/10/2015,26/10/2015,25/10/2040,New South Wales,2840,"5953/DP768835

The project is in the Bourke local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF102180.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,100,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,21/09/2022 This project has been revoked under section 30 of the CFI Rule.,Yes,Australia
Nunyara Pty Ltd as the Trustee for Nunyara Unit Trust,Climate Friendly Pty Ltd,n/a,Nunyara Yandaroo Regeneration Project,ERF187274,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing",Livestock,11/9/23,11/9/23,10/9/48,New South Wales,2840,"6457/DP769299
 
The project is in the BOURKE SHIRE COUNCIL local government area(s).",https://cer.gov.au/sites/default/files/projectFiles/ERF187274.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
Nunyara Pty Ltd as the Trustee for Nunyara Unit Trust,Climate Friendly Pty Ltd,n/a,Delta Regeneration Project,EOP101133,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 1),https://www.legislation.gov.au/Details/F2015C00576,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing; Management, in a humane manner, of feral animals",Feral Animals; Livestock,8/4/15,1/1/13,31/12/2037,New South Wales,2840,"3895/DP766368

The project is in the Bourke local government area.",https://cer.gov.au/sites/default/files/projectFiles/EOP101133.kml,https://cer.gov.au/sites/default/files/projectFiles/EOP101133_CEA.zip,https://cer.gov.au/sites/default/files/projectFiles/EOP101133_CEA_info.pdf,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,22/10/2015,21/10/2115,n/a,n/a,323458,323458,0,0,0,53606,19905,19756,21474,30092,85789,26103,24703,23353,18677,Rona Magdalene Davis; Yandaroo Pty Ltd; Nunyara Pty Ltd as the Trustee for Nunyara Unit Trust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,"01/05/2015 Variation of project name - from Yandaroo Regeneration Project to Delta Regeneration Project.

01/05/2015 Variation to the project area - areas listed in the project have been removed

09/04/2018 Variation to participant name - from Rona Magdalene Davis to Yandaroo Pty Ltd.

24/08/2021. This project was contracted in Apr-15 and CAC655628 has now been completed.

21/09/2023 Variation to participant name - from Yandaroo Pty Ltd. to Nunyara Pty Ltd as the Trustee for Nunyara Unit Trust",No,Australia
Nunyara Pty Ltd as the Trustee for Nunyara Unit Trust,CARBON FARMERS OF AUSTRALIA PTY LTD,n/a,Nooralaba Station Forest Regeneration Project,ERF105094,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 2),https://www.legislation.gov.au/Details/F2016C00281,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management, in a humane manner, of feral animals",Feral Animals,8/11/16,8/11/16,7/11/41,Queensland,4490,"5/BAN52, 11/BAN105, 12/BAN105

The project is in the Paroo local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF105094.kml,https://cer.gov.au/sites/default/files/projectFiles/ERF105094_CEA.zip,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,23/03/2018,22/03/2043,1/11/16,CAC373298,189307,189307,0,0,0,0,0,32621,10663,21151,41598,15351,0,47231,20692,Lynette Fay Grabbe; Nunyara Pty Ltd as the Trustee for Nunyara Unit Trust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,17/12/2021 Variation to participant name - from Anthony Grabbe and Lynette Grabbe to Nunyara Pty Ltd as the Trustee for Nunyara Unit Trust,No,Australia
Oakstead Pty. Ltd. as the Trustee for the Granville Proprietors,Climate Friendly Pty Ltd,n/a,Granville Forest Regeneration Project (Revoked),ERF103118,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 2),https://www.legislation.gov.au/Details/F2016C00281,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Cessation of mechanical or chemical destruction, or suppression, of regrowth; Management of the timing, and the extent, of grazing","Livestock; Mechanical or chemical destruction, or suppression, of regrowth",24/06/2016,24/06/2016,23/06/2041,Queensland,4480,"4/NK64, 1/NK63, 6/MCY30, 4/NK76, 1/MCY52, 2/NK7

The project is in the Quilpie local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF103118.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,10/11/2016 This project has been revoked under section 32 of the CFI Act.,Yes,Australia
Okeview Farm Operations Pty Ltd,n/a,n/a,Okeview Environmental Planting Carbon Project,ERF197378,Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings-FullCAM) Methodology Determination 2014 (Compilation No. 2),https://www.legislation.gov.au/Details/F2018C00118,Vegetation,This project establishes permanent plantings of a mix of native tree species on land that was predominantly used for agricultural purposes for at least five years prior to project commencement. The tree species are native to the local area.,Permanent mixed-species environmental planting,n/a,19/09/2024,20/09/2024,19/09/2049,New South Wales,2650,"1/DP751423, 10/DP114170, 137/DP751397, 138/DP751397, 2/DP134386, 2/DP232285, 2/DP757262, 2/DP787274, 24/DP757262, 26/DP757262, 27/DP757262, 28/DP757262, 3/DP134386, 34/DP757262, 4/DP787292, 5/DP1112327, 51/DP751423, 79/DP751423
 
The project is in the Cootamundra-Gundagai Regional, Wagga Wagga local government area(s).",https://cer.gov.au/sites/default/files/projectFiles/ERF197378.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
Olde Milong Properties Pty Ltd as trustee for Angus Metcalfe Family Trust,n/a,n/a,Willowgreen Carbon + Biodiversity R2-1458,ERF178987,Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings-FullCAM) Methodology Determination 2014 (Compilation No. 2),https://www.legislation.gov.au/Details/F2018C00118,Vegetation,This project establishes permanent plantings of a mix of native tree species on land that was predominantly used for agricultural purposes for at least five years prior to project commencement. The tree species are native to the local area.,Permanent mixed-species environmental planting,n/a,3/11/22,1/10/23,30/09/2048,New South Wales,2585,"1/DP1259540, 1/DP1259540, 1/DP181038, 1/DP321409, 1/DP753618, 138/DP753618, 143/DP753618, 144/DP753618, 167/DP753618, 2/DP1107587, 6/DP251943
 
The project is in the HARDEN SHIRE COUNCIL local government area(s).",https://cer.gov.au/sites/default/files/projectFiles/ERF178987.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
Olympic Force Pty Limited as the Trustee for Olympic Force Unit Trust,Olivia Skellern,n/a,Coreena Planting Project R2-1485,ERF180116,Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings-FullCAM) Methodology Determination 2014 (Compilation No. 2),https://www.legislation.gov.au/Details/F2018C00118,Vegetation,This project establishes permanent plantings of a mix of native tree species on land that was predominantly used for agricultural purposes for at least five years prior to project commencement. The tree species are native to the local area.,Permanent mixed-species environmental planting,n/a,14/03/2023,14/03/2023,13/03/2048,New South Wales,2663,"1/DP189636, 104/DP751403, 16/DP751403, 195/DP751403, 4/DP134813, 61/DP751403, 62/DP751403, 64/DP751403
 
The project is in the JUNEE SHIRE COUNCIL local government area(s).",https://cer.gov.au/sites/default/files/projectFiles/ERF180116.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
Orange City Council,Carbon Farmers of Australia No. 1 Limited,n/a,Orange City Council Environmental Plantings Carbon Project (Revoked),ERF102057,Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings-FullCAM) Methodology Determination 2014 (Compilation No. 1),https://www.legislation.gov.au/Details/F2015C00581,Vegetation,This project establishes permanent plantings of a mix of native tree species on land that was predominantly used for agricultural purposes for at least five years prior to project commencement. The tree species are native to the local area.,Permanent mixed-species environmental planting,n/a,26/10/2015,26/10/2015,25/10/2040,New South Wales,2800,"1/DP404309

The project is in the Orange local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF102057.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,21/03/2024 This project has been revoked under section 30 of the CFI Rule.,Yes,Australia
